"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"200";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"201";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"202";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"203";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"204";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/02";"2021";"53";3;2;0;5;"Germany";"AgeGender"
"205";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/02";"2021";"53";10;9;0;19;"Germany";"AgeGender"
"206";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"207";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"208";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"209";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"210";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"211";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/12";"2021";"02";3;2;0;5;"Germany";"AgeGender"
"212";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/12";"2021";"02";6;4;0;10;"Germany";"AgeGender"
"213";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/12";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"214";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/12";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"215";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/12";"2021";"02";0;0;0;0;"Germany";"AgeGender"
